topic,count,top_words
0,2938,"loue, wife, pray, lady, house, master, gentleman, woman"
1,839,"wife, gentlemen, gentleman, woman, pray, time, lady, faith"
2,816,"great, death, minde, gods, earth, loe, place, world"
3,510,"venus, cupid, loue, siluer, gold, great, hand, gods"
4,508,"king, lord, yorke, france, duke, henry, edward, england"
5,297,"brutus, rome, pompey, great, martius, men, antony, people"
6,282,"king, lord, mortimer, gaueston, edward, france, england, lords"
7,239,"loue, loues, siluia, faire, protheus, eyes, heart, louer"
8,222,"dutchesse, duke, signiour, borgia, court, love, madam, prince"
9,176,"london, maior, worthy, honor, yeare, time, honour, day"
10,175,"death, dead, life, soule, teares, die, heart, griefe"
11,165,"payne, god, gyue, thynke, parte, ryght, eueryman, heuen"
12,163,"tamburlaine, baiazet, zenocrate, mahomet, tamburlain, armes, theridamas, persea"
13,163,"duke, lord, brother, florence, death, sciarrha, dead, treason"
14,149,"greece, saturne, hercules, sonne, king, mother, iason, death"
15,140,"senate, caesar, consul, rome, catiline, hem, seianvs, state"
16,138,"kings, feare, power, state, princes, lawes, men, ill"
17,136,"ys, yt, wyth, thyng, shuld, wold, wyse, reason"
18,135,"loue, euer, life, heart, thing, heare, death, way"
19,135,"printed, play, stage, acted, author, london, read, written"
20,134,"lorde, lawe, soch, god, holy, christ, lawes, whan"
21,125,"sleepe, bed, night, dreame, rest, day, awake, wake"
22,124,"hector, achilles, troylus, aiax, troy, diomed, patroclus, paris"
23,121,"wyth, dothe, doothe, agayne, lyght, styll, hande, syght"
24,118,"est, non, que, sed, ego, si, hoc, qui"
25,101,"melibea, calisto, celestina, parmeno, sempronio, lucrecia, old, elicia"
26,101,"duke, clarinda, loue, dukes, lord, madame, belieue, court"
27,97,"antonio, berinthia, trincalo, flauia, sebastiano, valasco, pandolfo, sister"
28,85,"marius, scilla, rome, pompey, frends, consull, scillas, caesar"
29,80,"bacon, margret, lacie, peggie, frier, fryer, lacy, raphe"
30,80,"ferdinand, pembrooke, burbon, nauar, fraunce, philip, katharine, knight"
31,79,"amyntas, phillis, noe, soe, stil, sweete, fro, whoe"
32,78,"god, iacob, temple, lord, philologus, lorde, saviour, prophet"
33,73,"admirall, chabot, chancellor, king, iudges, lord, kings, condemn"
34,66,"caesar, cleopatra, antony, state, death, st, caesars, euer"
35,63,"numps, fayre, numpes, bartholmew, buy, bread, fine, ginger"
36,63,"roderigo, cimena, love, sancho, cid, honour, madam, king"
37,61,"troy, greekes, achilles, hectors, pyrrhus, troyans, agayne, hector"
38,60,"hamlet, lord, horatio, laertes, mother, denmarke, king, father"
39,60,"carthage, scipio, syphax, sophonisba, massinissa, hannibal, rome, massanissa"
40,60,"rome, titus, andronicus, lucius, emperour, marcus, lauinia, gothes"
41,57,"heere, hic, lord, wit, pray, god, hazard, true"
42,56,"antonius, cleopatra, anthony, queen, plutarch, dio, love, canidius"
43,52,"wyfe, daye, godes, father, praye, therfore, wherfore, waye"
44,48,"siluia, cloris, thirsis, palaemon, ah, techne, euer, loue"
45,47,"clay, squire, awdrey, tub, turfe, puppy, hun, iohn"
46,47,"anthonio, dulipo, philogano, camillo, venice, ducats, sicilia, portia"
47,47,"shake, stage, workes, liue, booke, cankring, parlying, hake"
48,46,"cromwell, bedford, lord, earle, gardiner, lambeth, hodge, hart"
49,43,"dauids, israel, absalon, dauid, vrias, ioab, absolon, ammon"
50,41,"romeo, tybalt, mercutio, iuliet, night, mountague, dead, romeos"
51,40,"andrea, hieronimo, horatio, balthazar, sforza, prince, lord, sonne"
52,40,"writings, reade, bene, imitator, frauds, abu, maimed, quitted"
53,40,"love, daphnis, nerina, hylas, cariclea, caricles, dorinda, theagines"
54,39,"greeke, stage, forth, paccuuius, marlowes, euripides, lily, gropes"
56,38,"kate, ferando, polidor, bianca, lucentio, gremio, tranio, katherine"
55,38,"poets, dry, lines, poet, line, auon, torned, nuncius"
58,38,"pamphilus, dauus, chremes, simo, doo, glycerie, marriage, matter"
57,38,"ich, neele, diccon, gammer, hodge, cham, chat, gogs"
61,36,"cyrus, abradates, panthea, gobrias, antiochus, libanio, campe, babylon"
59,36,"playes, buy, obtai, leauened, weighd, dailie, stationer, priuiledges"
60,36,"trifles, liuing, booke, exequutor, blount, vvrit, heereto, shakespeares"
62,35,"hir, quod, fraunces, dame, mistresse, mistres, elynor, pergo"
63,35,"damon, pithias, dionisius, doo, kinge, carisophus, friendship, die"
64,35,"ring, gaue, finger, begd, away, clarke, woman, wife"
65,35,"faukenbridge, skinke, hermit, richard, redcap, fau, prince, porter"
66,34,"arcadius, lisimachus, demetrius, epire, polidora, seleucus, macarius, queene"
67,34,"mordred, warres, arthur, arthurs, mordreds, fates, sire, brytaine"
68,33,"aeneas, dido, iarbus, didos, achates, anna, carthage, ascanius"
69,32,"apollos, apollo, siren, hedone, muses, shrouing, amphibius, play"
70,32,"wallace, bruce, selby, clifford, mentith, grimsby, graham, scotch"
71,32,"god, synne, beleue, mercy, repent, sinne, repentance, lorde"
72,31,"robin, george, frier, greene, earle, hood, pinner, king"
73,31,"evadne, pamphilus, techmessa, tyndarus, um, cleora, philoclea, mors"
74,31,"pandora, stesias, iphicles, melos, learchus, gunophilus, pandoraes, loue"
