Genre_Main,topic,ChunkCount,NumChunks_in_Genre,Percentage_within_Genre
Comedy,0,128,276,46.3768
Comedy,10,65,276,23.5507
Comedy,23,32,276,11.5942
Comedy,44,11,276,3.9855
Comedy,1,8,276,2.8986
Comedy,39,7,276,2.5362
Comedy,11,5,276,1.8116
Comedy,5,4,276,1.4493
Comedy,2,3,276,1.087
Comedy,7,3,276,1.087
Comedy,17,3,276,1.087
Comedy,22,3,276,1.087
Comedy,3,2,276,0.7246
Comedy,20,2,276,0.7246
Tragedy,5,195,606,32.1782
Tragedy,11,106,606,17.4917
Tragedy,4,63,606,10.396
Tragedy,40,58,606,9.571
Tragedy,45,44,606,7.2607
Tragedy,6,39,606,6.4356
Tragedy,10,14,606,2.3102
Tragedy,44,14,606,2.3102
Tragedy,0,13,606,2.1452
Tragedy,15,12,606,1.9802
Tragedy,20,7,606,1.1551
Tragedy,1,6,606,0.9901
Tragedy,2,5,606,0.8251
Tragedy,17,5,606,0.8251
Tragedy,39,5,606,0.8251
Tragedy,22,4,606,0.6601
Tragedy,23,3,606,0.495
Tragedy,25,3,606,0.495
Tragedy,7,2,606,0.33
Tragedy,8,1,606,0.165
Tragedy,9,1,606,0.165
Tragedy,12,1,606,0.165
Tragedy,19,1,606,0.165
Tragedy,21,1,606,0.165
Tragedy,28,1,606,0.165
Tragedy,33,1,606,0.165
Tragedy,49,1,606,0.165
History,4,291,378,76.9841
History,6,39,378,10.3175
History,0,10,378,2.6455
History,39,9,378,2.381
History,44,8,378,2.1164
History,28,5,378,1.3228
History,2,2,378,0.5291
History,8,2,378,0.5291
History,11,2,378,0.5291
History,25,2,378,0.5291
History,33,2,378,0.5291
History,1,1,378,0.2646
History,5,1,378,0.2646
History,9,1,378,0.2646
History,10,1,378,0.2646
History,22,1,378,0.2646
History,34,1,378,0.2646
